id	pop	alpha	pvalue	test
ENSG00000000457	AFR	0.524	0.33321307959794816	std
ENSG00000000457	AFR	0.5238095238095238	0.3332130795979479	emkt1
ENSG00000000457	AFR	0.33333333333333337	1.0	fww1
ENSG00000000457	AFR	0.333	0.7491686471500798	imp1
ENSG00000000460	AFR	-1.286	0.15534970987139016	std
ENSG00000000460	AFR	-1.3314285714285714	0.151081025062619	emkt1
ENSG00000000460	AFR	-1.2857142857142856	0.1553497098713915	emkt2
ENSG00000000460	AFR	-1.8571428571428568	0.38080495356037325	fww1
ENSG00000000460	AFR	-1.2857142857142856	0.6351172047766499	fww2
ENSG00000000460	AFR	-1.857	0.07596758899940385	imp1
ENSG00000000460	AFR	-1.286	0.1553497098713915	imp2
ENSG00000000938	AFR	-0.125	1.0	std
ENSG00000000971	AFR	-0.004	0.9999999999999731	std
ENSG00000000971	AFR	0.029017857142857206	0.9999999999999711	emkt1
ENSG00000000971	AFR	0.0959821428571429	0.9999999999999959	emkt2
ENSG00000000971	AFR	0.1071428571428571	0.9999999999999899	fww1
ENSG00000000971	AFR	0.4642857142857143	0.6557345291156548	fww2
ENSG00000000971	AFR	0.107	0.823689981189671	imp1
ENSG00000000971	AFR	0.464	0.2382459930452602	imp2
ENSG00000001460	AFR	-4.278	0.08970082622997533	std
ENSG00000001460	AFR	-4.555555555555555	0.08415559772296	emkt1
ENSG00000001460	AFR	-3.7222222222222223	0.1060893978719338	emkt2
ENSG00000001460	AFR	-5.25	0.286130536130536	fww1
ENSG00000001460	AFR	-1.5	0.5757575757575755	fww2
ENSG00000001460	AFR	-5.25	0.07719019328926491	imp1
ENSG00000001460	AFR	-1.5	0.40652173913043393	imp2
ENSG00000001461	AFR	-1.778	0.39045183290707497	std
ENSG00000006555	AFR	-9.5	0.032760695918590765	std
ENSG00000007341	AFR	0.429	0.9999999999999959	std
ENSG00000007908	AFR	-0.68	0.7159510567296935	std
ENSG00000007923	AFR	-1.75	0.27336976672953683	std
ENSG00000007923	AFR	-2.0	0.27336976672953717	emkt1
ENSG00000007923	AFR	-3.0	0.5252747252747255	fww1
